time[s],SAS[V],FWM[V]
-2.5,-0.000980276,-0.00216382
-2.499348958333,-0.000967714,-0.00216382
-2.498697916666,-0.000967714,-0.00216382
-2.498046874999,-0.000992839,-0.00203819
-2.497395833332,-0.000942588,-0.00203819
-2.496744791665,-0.000992839,-0.00203819
-2.496093749998,-0.000980276,-0.00191256
-2.495442708331,-0.000967714,-0.00203819
-2.494791666664,-0.000980276,-0.00191256
-2.494140624997,-0.000992839,-0.00191256
-2.49348958333,-0.000955151,-0.00178693
-2.492838541663,-0.000942588,-0.00178693
-2.492187499996,-0.0010054,-0.00178693
-2.491536458329,-0.00101796,-0.00178693
-2.490885416662,-0.000980276,-0.00178693
-2.490234374995,-0.000992839,-0.00166131
-2.489583333328,-0.000980276,-0.00166131
-2.488932291661,-0.000942588,-0.00166131
-2.488281249994,-0.000992839,-0.00153568
-2.487630208327,-0.00103053,-0.00153568
-2.48697916666,-0.000955151,-0.00153568
-2.486328124993,-0.000992839,-0.00153568
-2.485677083326,-0.000992839,-0.00153568
-2.485026041659,-0.000980276,-0.00141005
-2.484374999992,-0.000955151,-0.00141005
-2.483723958325,-0.0010054,-0.00141005
-2.483072916658,-0.000992839,-0.00128442
-2.482421874991,-0.000980276,-0.00128442
-2.481770833324,-0.000967714,-0.00128442
-2.481119791657,-0.000992839,-0.00128442
-2.48046874999,-0.000980276,-0.00128442
-2.479817708323,-0.00103053,-0.00115879
-2.479166666656,-0.000992839,-0.00115879
-2.478515624989,-0.000980276,-0.00115879
-2.477864583322,-0.000992839,-0.00103317
-2.477213541655,-0.0010054,-0.00103317
-2.476562499988,-0.000980276,-0.000907538
-2.475911458321,-0.000992839,-0.000907538
-2.475260416654,-0.00103053,-0.000907538
-2.474609374987,-0.000980276,-0.000907538
-2.47395833332,-0.000942588,-0.000907538
-2.473307291653,-0.000967714,-0.000781909
-2.472656249986,-0.000967714,-0.000781909
-2.472005208319,-0.000967714,-0.000781909
-2.471354166652,-0.00101796,-0.000656281
-2.470703124985,-0.000980276,-0.000656281
-2.470052083318,-0.000980276,-0.000530653
-2.469401041651,-0.000980276,-0.000530653
-2.468749999984,-0.0010054,-0.000530653
-2.468098958317,-0.000967714,-0.000530653
-2.46744791665,-0.000980276,-0.000405025
-2.466796874983,-0.000980276,-0.000405025
-2.466145833316,-0.000955151,-0.000405025
-2.465494791649,-0.000967714,-0.000279397
-2.464843749982,-0.000967714,-0.000279397
-2.464192708315,-0.000980276,-0.000279397
-2.463541666648,-0.000967714,-0.000153769
-2.462890624981,-0.000967714,-0.000153769
-2.462239583314,-0.000955151,-0.000153769
-2.461588541647,-0.000967714,-0.000153769
-2.46093749998,-0.000980276,-2.81407e-05
-2.460286458313,-0.000980276,-2.81407e-05
-2.459635416646,-0.000930025,9.74875e-05
-2.458984374979,-0.000967714,-2.81407e-05
-2.458333333312,-0.000967714,9.74875e-05
-2.457682291645,-0.000955151,9.74875e-05
-2.457031249978,-0.000955151,9.74875e-05
-2.456380208311,-0.000967714,0.000223116
-2.455729166644,-0.000955151,0.000223116
-2.455078124977,-0.000930025,0.000223116
-2.45442708331,-0.000992839,0.000348744
-2.453776041643,-0.000980276,0.000474372
-2.453124999976,-0.000955151,0.000474372
-2.452473958309,-0.000992839,0.000474372
-2.451822916642,-0.000967714,0.0006
-2.451171874975,-0.000955151,0.000474372
-2.450520833308,-0.000967714,0.0006
-2.449869791641,-0.000992839,0.0006
-2.449218749974,-0.000967714,0.0006
-2.448567708307,-0.000992839,0.000725628
-2.44791666664,-0.000992839,0.000725628
-2.447265624973,-0.000904899,0.000851256
-2.446614583306,-0.0010054,0.000851256
-2.445963541639,-0.00101796,0.000851256
-2.445312499972,-0.000967714,0.000976885
-2.444661458305,-0.000955151,0.000976885
-2.444010416638,-0.00105565,0.000976885
-2.443359374971,-0.000992839,0.000976885
-2.442708333304,-0.000980276,0.00110251
-2.442057291637,-0.000992839,0.00110251
-2.44140624997,-0.00103053,0.00110251
-2.440755208303,-0.000967714,0.00110251
-2.440104166636,-0.00101796,0.00122814
-2.439453124969,-0.000992839,0.00122814
-2.438802083302,-0.0010054,0.00122814
-2.438151041635,-0.00104309,0.00135377
-2.437499999968,-0.00101796,0.00135377
-2.436848958301,-0.000980276,0.00135377
-2.436197916634,-0.000967714,0.0014794
-2.435546874967,-0.00104309,0.0014794
-2.4348958333,-0.00103053,0.0014794
-2.434244791633,-0.00103053,0.00160503
-2.433593749966,-0.000992839,0.00173065
-2.432942708299,-0.00101796,0.00173065
-2.432291666632,-0.0010054,0.00173065
-2.431640624965,-0.00101796,0.00173065
-2.430989583298,-0.00104309,0.00173065
-2.430338541631,-0.00103053,0.00185628
-2.429687499964,-0.0010054,0.00185628
-2.429036458297,-0.00101796,0.00198191
